Plant Species,Compound,Functional Group,Molecular Weight (g/mol),pKa,log Kow, Exposure time  (hrs),RCF (L/g),SCF (L/g)  ,TF
Lettuce,PFBA,Carboxylate,214.1,-0.21,1.43,960.0,0.03,0.03,1.0
Lettuce,PFBA,Carboxylate,214.1,-0.21,1.43,960.0,0.009,0.02,2.22
Lettuce,PFBA,Carboxylate,214.1,-0.21,1.43,960.0,0.006,0.01,1.67
Lettuce,PFBA,Carboxylate,214.1,-0.21,1.43,960.0,0.006,0.01,1.67
Lettuce,PFBA,Carboxylate,214.1,-0.21,1.43,960.0,0.004,0.01,2.5
Lettuce,PFPeA,Carboxylate,264.1,-0.8,1.35,960.0,0.019,0.009,0.47
Lettuce,PFPeA,Carboxylate,264.1,-0.8,1.35,960.0,0.007,0.01,1.43
Lettuce,PFPeA,Carboxylate,264.1,-0.8,1.35,960.0,0.004,0.003,0.75
Lettuce,PFPeA,Carboxylate,264.1,-0.8,1.35,960.0,0.002,0.003,1.5
Lettuce,PFPeA,Carboxylate,264.1,-0.8,1.35,960.0,0.002,0.003,1.5
Lettuce,PFHxA,Carboxylate,314.1,0.2,2.85,960.0,0.14,0.04,0.29
Lettuce,PFHxA,Carboxylate,314.1,0.2,2.85,960.0,0.01,0.002,0.2
Lettuce,PFHxA,Carboxylate,314.1,0.2,2.85,960.0,0.003,0.001,0.33
Lettuce,PFHxA,Carboxylate,314.1,0.2,2.85,960.0,0.002,0.001,0.5
Lettuce,PFHxA,Carboxylate,314.1,0.2,2.85,960.0,0.002,0.001,0.5
Lettuce,PFHpA,Carboxylate,364.1,0.81,2.05,960.0,0.24,0.043,0.18
Lettuce,PFHpA,Carboxylate,364.1,0.81,2.05,960.0,0.01,0.002,0.2
Lettuce,PFHpA,Carboxylate,364.1,0.81,2.05,960.0,0.004,0.0009,0.225
Lettuce,PFHpA,Carboxylate,364.1,0.81,2.05,960.0,0.003,0.001,0.33
Lettuce,PFHpA,Carboxylate,364.1,0.81,2.05,960.0,0.002,0.0009,0.45
Lettuce,PFOA,Carboxylate,414.1,3.15,3.1,960.0,0.31,0.024,0.077
Lettuce,PFOA,Carboxylate,414.1,3.15,3.1,960.0,0.04,0.002,0.05
Lettuce,PFOA,Carboxylate,414.1,3.15,3.1,960.0,0.01,0.001,0.1
Lettuce,PFOA,Carboxylate,414.1,3.15,3.1,960.0,0.01,0.0015,0.15
Lettuce,PFOA,Carboxylate,414.1,3.15,3.1,960.0,0.005,0.0015,0.3
Lettuce,PFNA,Carboxylate,414.07,0.23,3.54,960.0,0.43,0.03,0.07
Lettuce,PFNA,Carboxylate,414.07,0.23,3.54,960.0,0.11,0.004,0.04
Lettuce,PFNA,Carboxylate,414.07,0.23,3.54,960.0,0.06,0.002,0.033
Lettuce,PFNA,Carboxylate,414.07,0.23,3.54,960.0,0.06,0.002,0.033
Lettuce,PFNA,Carboxylate,414.07,0.23,3.54,960.0,0.02,0.0023,2.0
Lettuce,PFDA,Carboxylate,464.08,0.4,4.15,960.0,3.24,0.18,0.06
Lettuce,PFDA,Carboxylate,464.08,0.4,4.15,960.0,0.36,0.01,0.03
Lettuce,PFDA,Carboxylate,464.08,0.4,4.15,960.0,0.13,0.02,0.15
Lettuce,PFDA,Carboxylate,464.08,0.4,4.15,960.0,0.26,0.016,0.062
Lettuce,PFDA,Carboxylate,464.08,0.4,4.15,960.0,0.07,0.04,0.571
Lettuce,PFUnDA,Carboxylate,564.09,0.54,4.0,960.0,2.94,0.17,0.06
Lettuce,PFUnDA,Carboxylate,564.09,0.54,4.0,960.0,0.96,0.016,0.02
Lettuce,PFUnDA,Carboxylate,564.09,0.54,4.0,960.0,0.31,0.003,0.0097
Lettuce,PFUnDA,Carboxylate,564.09,0.54,4.0,960.0,0.8,0.006,0.0075
Lettuce,PFUnDA,Carboxylate,564.09,0.54,4.0,960.0,0.2,0.003,0.015
Lettuce,PFDoDA,Carboxylate,614.1,0.54,8.76,960.0,2.29,0.08,0.03
Lettuce,PFDoDA,Carboxylate,614.1,0.54,8.76,960.0,1.19,0.014,0.01
Lettuce,PFDoDA,Carboxylate,614.1,0.54,8.76,960.0,0.31,0.0017,0.005
Lettuce,PFDoDA,Carboxylate,614.1,0.54,8.76,960.0,0.43,0.004,0.009
Lettuce,PFDoDA,Carboxylate,614.1,0.54,8.76,960.0,0.03,0.001,0.033
Lettuce,PFTrDA,Carboxylate,664.1,0.54,8.76,960.0,1.29,0.112,0.09
Lettuce,PFTrDA,Carboxylate,664.1,0.54,8.76,960.0,0.71,0.015,0.021
Lettuce,PFTrDA,Carboxylate,664.1,0.54,8.76,960.0,0.23,0.003,0.013
Lettuce,PFTrDA,Carboxylate,664.1,0.54,8.76,960.0,0.35,0.002,0.0057
Lettuce,PFTrDA,Carboxylate,664.1,0.54,8.76,960.0,0.03,0.0004,0.013
Lettuce,PFTeDA,Carboxylate,714.11,0.54,5.1,960.0,2.12,0.094,0.044
Lettuce,PFTeDA,Carboxylate,714.11,0.54,5.1,960.0,0.59,0.005,0.008
Lettuce,PFTeDA,Carboxylate,714.11,0.54,5.1,960.0,0.35,0.001,0.003
Lettuce,PFTeDA,Carboxylate,714.11,0.54,5.1,960.0,0.32,0.0005,0.002
